source,target,year,weight
211,212,2010,1
211,212,2011,3
211,212,2012,1
211,212,2013,0
211,212,2014,2
211,213,2000,7
211,213,2001,3
211,213,2002,3
211,213,2003,7
211,213,2004,13
211,213,2005,8
211,213,2006,18
211,213,2007,12
211,213,2008,23
211,213,2009,36
211,213,2010,68
211,213,2011,65
211,213,2012,6
211,213,2013,7
211,213,2014,5
211,221,2000,3
211,221,2001,3
211,221,2002,9
211,221,2003,11
211,221,2004,11
211,221,2005,8
211,221,2006,2
211,221,2007,7
211,221,2008,8
211,221,2009,2
211,221,2010,6
211,221,2011,3
211,221,2012,7
211,221,2013,6
211,221,2014,5
211,236,2000,0
211,236,2001,0
211,236,2002,0
211,236,2003,0
211,236,2004,0
211,236,2005,0
211,236,2006,1
211,236,2007,0
211,236,2008,0
211,236,2009,0
211,236,2010,1
211,236,2011,2
211,236,2012,0
211,236,2013,0
211,236,2014,0
211,237,2000,0
211,237,2001,0
211,237,2002,3
211,237,2003,2
211,237,2004,1
211,237,2005,1
211,237,2006,1
211,237,2007,1
211,237,2008,3
211,237,2009,1
211,237,2010,2
211,237,2011,0
211,237,2012,1
211,237,2013,1
211,237,2014,0
211,238,2000,1
211,238,2001,0
211,238,2002,0
211,238,2003,0
211,238,2004,1
211,238,2005,2
211,238,2006,2
211,238,2007,2
211,238,2008,1
211,238,2009,0
211,238,2010,0
211,238,2011,0
211,238,2012,0
211,238,2013,0
211,238,2014,0
211,311,2000,0
211,311,2001,0
211,311,2002,0
211,311,2003,0
211,311,2004,0
211,311,2005,0
211,311,2006,0
211,311,2007,0
211,311,2008,0
211,311,2009,1
211,311,2010,0
211,311,2011,0
211,311,2012,0
211,311,2013,0
211,311,2014,0
211,322,2000,0
211,322,2001,0
211,322,2002,0
211,322,2003,0
211,322,2004,0
211,322,2005,0
211,322,2006,0
211,322,2007,0
211,322,2008,0
211,322,2009,0
211,322,2010,0
211,322,2011,0
211,322,2012,0
211,322,2013,0
211,322,2014,1
211,324,2000,2
211,324,2001,4
211,324,2002,2
211,324,2003,0
211,324,2004,1
211,324,2005,2
211,324,2006,1
211,324,2007,1
211,324,2008,1
211,324,2009,1
211,324,2010,0
211,324,2011,1
211,324,2012,1
211,324,2013,1
211,324,2014,2
211,325,2000,2
211,325,2001,1
211,325,2002,2
211,325,2003,0
211,325,2004,0
211,325,2005,0
211,325,2006,0
211,325,2007,1
211,325,2008,3
211,325,2009,4
211,325,2010,1
211,325,2011,1
211,325,2012,1
211,325,2013,0
211,325,2014,1
211,327,2000,0
211,327,2001,0
211,327,2002,0
211,327,2003,0
211,327,2004,0
211,327,2005,0
211,327,2006,0
211,327,2007,0
211,327,2008,0
211,327,2009,0
211,327,2010,0
211,327,2011,1
211,327,2012,0
211,327,2013,0
211,327,2014,0
211,332,2000,0
211,332,2001,0
211,332,2002,0
211,332,2003,0
211,332,2004,1
211,332,2005,0
211,332,2006,0
211,332,2007,0
211,332,2008,0
211,332,2009,0
211,332,2010,0
211,332,2011,0
211,332,2012,0
211,332,2013,0
211,332,2014,0
211,333,2000,0
211,333,2001,4
211,333,2002,0
211,333,2003,1
211,333,2004,1
211,333,2005,0
211,333,2006,2
211,333,2007,2
211,333,2008,1
211,333,2009,1
211,333,2010,0
211,333,2011,1
211,333,2012,0
211,333,2013,0
211,333,2014,1
211,334,2000,1
211,334,2001,2
211,334,2002,0
211,334,2003,0
211,334,2004,0
211,334,2005,0
211,334,2006,1
211,334,2007,0
211,334,2008,1
211,334,2009,1
211,334,2010,1
211,334,2011,0
211,334,2012,2
211,334,2013,0
211,334,2014,0
211,335,2000,1
211,335,2001,0
211,335,2002,0
211,335,2003,0
211,335,2004,0
211,335,2005,0
211,335,2006,2
211,335,2007,0
211,335,2008,1
211,335,2009,0
211,335,2010,0
211,335,2011,0
211,335,2012,0
211,335,2013,0
211,335,2014,0
211,336,2000,0
211,336,2001,0
211,336,2002,0
211,336,2003,0
211,336,2004,0
211,336,2005,0
211,336,2006,0
211,336,2007,0
211,336,2008,1
211,336,2009,0
211,336,2010,0
211,336,2011,0
211,336,2012,0
211,336,2013,0
211,336,2014,0
211,339,2000,0
211,339,2001,0
211,339,2002,1
211,339,2003,0
211,339,2004,0
211,339,2005,0
211,339,2006,0
211,339,2007,1
211,339,2008,0
211,339,2009,0
211,339,2010,0
211,339,2011,0
211,339,2012,1
211,339,2013,0
211,339,2014,0
211,423,2000,0
211,423,2001,0
211,423,2002,0
211,423,2003,0
211,423,2004,0
211,423,2005,0
211,423,2006,0
211,423,2007,0
211,423,2008,0
211,423,2009,0
211,423,2010,0
211,423,2011,0
211,423,2012,0
211,423,2013,1
211,423,2014,0
211,424,2000,0
211,424,2001,1
211,424,2002,1
211,424,2003,2
211,424,2004,0
211,424,2005,3
211,424,2006,3
211,424,2007,0
211,424,2008,1
211,424,2009,0
211,424,2010,1
211,424,2011,2
211,424,2012,0
211,424,2013,1
211,424,2014,2
211,441,2000,0
211,441,2001,1
211,441,2002,0
211,441,2003,0
211,441,2004,0
211,441,2005,0
211,441,2006,0
211,441,2007,0
211,441,2008,0
211,441,2009,0
211,441,2010,0
211,441,2011,1
211,441,2012,0
211,441,2013,0
211,441,2014,0
211,443,2000,0
211,443,2001,0
211,443,2002,0
211,443,2003,0
211,443,2004,0
211,443,2005,0
211,443,2006,0
211,443,2007,1
211,443,2008,0
211,443,2009,0
211,443,2010,0
211,443,2011,0
211,443,2012,0
211,443,2013,0
211,443,2014,0
211,445,2000,1
211,445,2001,0
211,445,2002,0
211,445,2003,0
211,445,2004,1
211,445,2005,0
211,445,2006,0
211,445,2007,0
211,445,2008,0
211,445,2009,0
211,445,2010,0
211,445,2011,0
211,445,2012,0
211,445,2013,0
211,445,2014,0
211,447,2000,1
211,447,2001,0
211,447,2002,1
211,447,2003,1
211,447,2004,0
211,447,2005,0
211,447,2006,0
211,447,2007,0
211,447,2008,0
211,447,2009,0
211,447,2010,0
211,447,2011,0
211,447,2012,0
211,447,2013,0
211,447,2014,0
211,451,2000,0
211,451,2001,0
211,451,2002,0
211,451,2003,0
211,451,2004,0
211,451,2005,0
211,451,2006,0
211,451,2007,0
211,451,2008,0
211,451,2009,0
211,451,2010,0
211,451,2011,0
211,451,2012,0
211,451,2013,0
211,451,2014,1
211,454,2000,1
211,454,2001,0
211,454,2002,0
211,454,2003,0
211,454,2004,0
211,454,2005,0
211,454,2006,0
211,454,2007,0
211,454,2008,0
211,454,2009,0
211,454,2010,0
211,454,2011,0
211,454,2012,0
211,454,2013,0
211,454,2014,0
211,481,2000,1
211,481,2001,0
211,481,2002,0
211,481,2003,0
211,481,2004,0
211,481,2005,0
211,481,2006,0
211,481,2007,0
211,481,2008,0
211,481,2009,0
211,481,2010,0
211,481,2011,1
211,481,2012,0
211,481,2013,0
211,481,2014,0
211,483,2000,0
211,483,2001,0
211,483,2002,0
211,483,2003,1
211,483,2004,0
211,483,2005,0
211,483,2006,0
211,483,2007,0
211,483,2008,0
211,483,2009,0
211,483,2010,0
211,483,2011,0
211,483,2012,0
211,483,2013,0
211,483,2014,0
211,484,2000,1
211,484,2001,0
211,484,2002,0
211,484,2003,0
211,484,2004,0
211,484,2005,0
211,484,2006,0
211,484,2007,0
211,484,2008,0
211,484,2009,0
211,484,2010,0
211,484,2011,0
211,484,2012,0
211,484,2013,0
211,484,2014,0
211,486,2000,5
211,486,2001,3
211,486,2002,1
211,486,2003,2
211,486,2004,3
211,486,2005,2
211,486,2006,2
211,486,2007,2
211,486,2008,1
211,486,2009,3
211,486,2010,6
211,486,2011,3
211,486,2012,1
211,486,2013,0
211,486,2014,3
211,488,2000,1
211,488,2001,0
211,488,2002,0
211,488,2003,0
211,488,2004,0
211,488,2005,0
211,488,2006,0
211,488,2007,0
211,488,2008,0
211,488,2009,0
211,488,2010,0
211,488,2011,0
211,488,2012,0
211,488,2013,1
211,488,2014,0
211,493,2000,0
211,493,2001,0
211,493,2002,0
211,493,2003,1
211,493,2004,0
211,493,2005,0
211,493,2006,0
211,493,2007,1
211,493,2008,0
211,493,2009,0
211,493,2010,0
211,493,2011,0
211,493,2012,0
211,493,2013,0
211,493,2014,0
211,511,2000,0
211,511,2001,0
211,511,2002,0
211,511,2003,0
211,511,2004,0
211,511,2005,2
211,511,2006,0
211,511,2007,0
211,511,2008,0
211,511,2009,0
211,511,2010,0
211,511,2011,1
211,511,2012,1
211,511,2013,1
211,511,2014,0
211,512,2000,0
211,512,2001,0
211,512,2002,0
211,512,2003,0
211,512,2004,0
211,512,2005,0
211,512,2006,0
211,512,2007,0
211,512,2008,0
211,512,2009,0
211,512,2010,0
211,512,2011,0
211,512,2012,0
211,512,2013,0
211,512,2014,1
